[01-Sep-2013 13:34:12] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 15
[01-Sep-2013 13:50:23] PHP Notice:  Use of undefined constant CURL_URL - assumed 'CURL_URL' in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 13:50:23] PHP Warning:  curl_setopt() expects parameter 2 to be long, string given in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 13:51:21] PHP Notice:  Use of undefined constant CURL_URL - assumed 'CURL_URL' in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 13:51:21] PHP Warning:  curl_setopt() expects parameter 2 to be long, string given in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:01:53] PHP Notice:  Use of undefined constant CURL_URL - assumed 'CURL_URL' in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:01:53] PHP Warning:  curl_setopt() expects parameter 2 to be long, string given in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:05:04] PHP Notice:  Use of undefined constant CURL_URL - assumed 'CURL_URL' in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:05:04] PHP Warning:  curl_setopt() expects parameter 2 to be long, string given in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:05:04] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 22
[01-Sep-2013 14:05:14] PHP Notice:  Use of undefined constant CURL_URL - assumed 'CURL_URL' in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:05:14] PHP Warning:  curl_setopt() expects parameter 2 to be long, string given in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:05:14] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 22
[01-Sep-2013 14:05:52] PHP Notice:  Use of undefined constant CURL_URL - assumed 'CURL_URL' in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:05:52] PHP Warning:  curl_setopt() expects parameter 2 to be long, string given in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:05:52] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 22
[01-Sep-2013 14:06:18] PHP Notice:  Use of undefined constant CURL_URL - assumed 'CURL_URL' in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:06:18] PHP Warning:  curl_setopt() expects parameter 2 to be long, string given in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 11
[01-Sep-2013 14:06:18] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 22
[01-Sep-2013 14:06:57] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 19
[01-Sep-2013 14:07:00] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 19
[01-Sep-2013 14:07:17] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 19
[01-Sep-2013 14:07:57] PHP Notice:  Undefined index: name in /var/zpanel/hostdata/jakeprice/public_html/awesomeportal_co_uk/jake/win.php on line 19
